key,endpoint,method,usage
catalog,https://api.agentartifacts.io/catalog,GET,Catalog list
trading_catalog,https://api.agentartifacts.io/catalog/trading,GET,Trading filter list
checkout_session,https://api.agentartifacts.io/checkout/session,POST,Create checkout session
disclosure_ack,https://api.agentartifacts.io/disclosures/acknowledge,POST,Record disclosure acknowledgement
signed_download,https://api.agentartifacts.io/downloads/signed-url,POST,Entitlement + disclosure gated download
upsell,https://api.agentartifacts.io/upsell/evaluate,POST,Get recommendation list
